iter	Passed	Remaining
161	2193	11346
162	2207	11336
163	2221	11323
164	2233	11300
165	2244	11278
166	2256	11256
167	2268	11235
168	2280	11212
169	2292	11191
170	2303	11169
171	2315	11148
172	2328	11129
173	2340	11109
174	2351	11086
175	2363	11066
176	2375	11047
177	2387	11027
178	2399	11005
179	2412	10988
180	2424	10969
181	2435	10946
182	2447	10926
183	2458	10904
184	2470	10883
185	2482	10862
186	2493	10841
187	2505	10822
188	2517	10803
189	2529	10783
190	2541	10764
191	2553	10744
192	2565	10725
193	2576	10706
194	2588	10687
195	2600	10666
196	2611	10646
197	2624	10629
198	2636	10611
199	2648	10593
200	2659	10572
201	2671	10553
202	2683	10533
203	2694	10513
204	2706	10495
205	2718	10478
206	2730	10461
207	2742	10442
208	2754	10425
209	2766	10409
210	2778	10388
211	2790	10371
212	2802	10354
213	2814	10337
214	2825	10317
215	2837	10299
216	2849	10281
217	2861	10263
218	2872	10244
219	2884	10227
220	2896	10210
221	2908	10193
222	2922	10182
223	2950	10221
224	2962	10204
225	2975	10191
226	2989	10180
227	3001	10164
228	3013	10146
229	3025	10127
230	3037	10110
231	3049	10095
232	3063	10083
233	3075	10066
234	3087	10050
235	3098	10032
236	3111	10017
237	3123	10000
238	3135	9984
239	3148	9968
240	3160	9952
241	3171	9933
242	3183	9916
243	3194	9899
244	3206	9881
245	3218	9864
246	3229	9846
247	3242	9831
248	3254	9814
249	3266	9798
250	3277	9781
251	3289	9764
252	3302	9749
253	3313	9733
254	3325	9716
255	3337	9698
256	3348	9681
257	3360	9664
258	3371	9647
259	3383	9630
260	3395	9614
261	3406	9596
262	3418	9579
263	3429	9562
264	3442	9546
265	3453	9529
266	3465	9514
267	3477	9497
268	3489	9482
269	3501	9465
270	3512	9449
271	3524	9434
272	3536	9417
273	3548	9402
274	3560	9385
275	3571	9369
276	3583	9353
277	3595	9337
278	3607	9322
279	3619	9306
280	3631	9291
281	3642	9275
282	3654	9259
283	3667	9245
284	3679	9230
285	3691	9215
286	3703	9201
287	3715	9186
288	3727	9171
289	3739	9155
290	3751	9140
291	3763	9125
292	3775	9109
293	3786	9093
294	3799	9079
295	3811	9064
296	3822	9048
297	3834	9032
298	3846	9017
299	3858	9002
300	3870	8989
301	3883	8975
302	3895	8960
303	3907	8945
304	3918	8929
305	3931	8917
306	3969	8960
307	3984	8952
308	3997	8939
309	4009	8925
310	4021	8910
311	4033	8894
312	4045	8879
313	4057	8864
314	4069	8850
315	4081	8834
316	4093	8819
317	4105	8804
318	4116	8788
319	4127	8771
320	4139	8756
321	4151	8741
322	4164	8727
323	4175	8712
324	4187	8696
325	4199	8681
326	4211	8667
327	4222	8651
328	4234	8636
329	4246	8622
330	4258	8607
331	4271	8593
332	4283	8579
333	4294	8563
334	4306	8549
335	4319	8536
336	4331	8521
337	4343	8507
338	4355	8493
339	4368	8479
340	4379	8463
341	4391	8448
342	4403	8434
343	4415	8419
344	4426	8404
345	4438	8390
346	4450	8375
347	4462	8361
348	4474	8346
349	4486	8331
350	4498	8316
351	4510	8302
352	4521	8287
353	4533	8272
354	4544	8257
355	4556	8243
356	4569	8229
357	4580	8214
358	4593	8201
359	4605	8187
360	4617	8173
361	4629	8159
362	4641	8145
363	4653	8130
364	4665	8116
365	4677	8102
366	4689	8088
367	4701	8074
368	4713	8060
369	4725	8046
370	4740	8037
371	4753	8024
372	4765	8010
373	4778	7997
374	4789	7982
375	4801	7968
376	4813	7954
377	4825	7939
378	4837	7926
379	4849	7911
380	4861	7897
381	4872	7883
382	4884	7869
383	4896	7854
384	4908	7840
385	4919	7826
386	4931	7812
387	4944	7798
388	4956	7785
389	4970	7774
390	5015	7811
391	5031	7803
392	5043	7789
393	5055	7775
394	5066	7760
395	5080	7748
396	5092	7734
397	5103	7718
398	5114	7704
399	5127	7690
400	5138	7676
401	5150	7662
402	5163	7648
403	5175	7635
404	5187	7621
405	5200	7608
